Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
TIANJIN BAODI BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司天津宝坻分公司)(Reg. No.: 91120224MA05NC376H),"NO.18 REAR ROW, INDUSTRIAL FUNCTION ZONE, HUOGEZHUANG TOWN, BAODI DISTRICT, TIANJIN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"SHANDONG WEIJIAN GEOTECHNICAL CO., LTD.(山东威建岩土科技有限公司)(Reg. No.: 91371000493639565D)","NO.79 SOUTH QINGDAO ROAD, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"TIANJIN HAIBAO LOGISTIC CO., LTD.(天津市海宝物流有限公司)(Reg. No.: 9112011605527990XG)","NO.634 NANHUAN ROAD, ECO-CITY CENTRAL FISHING PORT, TIANJIN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"NEW CENTURY DECORATION CO., LTD.(威海新世纪装饰工程有限公司)(Reg. No.: 91371000737241482J)","NO.303 TORCH ROAD, TORCH HIGH-TECH INDUSTRIAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"JIANYUAN CONSTRUCTION CO., LTD.(威海建设集团建圆施工有限公司)(Reg.No.: 91371000723895645B)","4TH FLOOR, NO.271-1 EASTERN KAIYUAN ROAD, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI JIAN’AN LIFTING MACHINE CO., LTD.(威海建安起重机械有限公司)(Reg.No.: 91371000565224423Q)","2ND FLOOR, NO.1311-5 ZHUHAI ROAD, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI LIDONG CONSTRUCTION TECHNOLOGY CO., LTD.(威海利东建筑科技有限公司)(Reg. No.: 91371000MA3N5CJK8F)","NO.91 WEST JIANGSU ROAD, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI HUILIFE CULTURE COMMUNICATION CO., LTD.*(威海慧生活文化传播有限公司*)(Reg. No.: 91371000334513949F)","NO.2 WENHUA MINGJU, HIGH-TECH ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"CHINA CAMC ENGINEERING CO., LTD.(中工国际工程股份有限公司)","CEC PLAZA NO. 3, DANLING STREET, HAIDAN DISTRICT, BEIJING",China,2022-03-09,2026-10-26,Cross Debarment: ADB
CHRISTIAM ANDRÉS NAVARRO GUARÍN,"CARRERA 53 NO. 64-25, LOCAL 1, BARRANQUILLA",Colombia,2021-12-23,2024-11-07,Cross Debarment: IDB
PROFINCO LTDA.,"CALLE 31 NO. 21-127, BARRIO CAÑAVERAL,FLORIDABLANCA, SANTANDER",Colombia,2021-12-23,2024-11-07,Cross Debarment: IDB
COLIC CONSTRUCTION DEVELOPMENT CO. PROPRIETARY LIMITED(Reg. No.: UIN BW00000291010),"PLOT 37180，BLOCK8, GABORONE",Botswana,2022-02-14,2024-10-18,Cross Debarment: AfDB
WEHAI CONSTRUCCION GRUPO S.L.(Reg. No.: 11.489W-014),"BINDUNG, BATA",Equatorial Guinea,2022-02-14,2024-10-18,Cross Debarment: AfDB
TIANJIN BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司天津分公司)(Reg. No.: 91120116MA05J6QR8F),"NO.634, NANHUAN ROAD, FISHERY PORT, ECO-CITY CENTER, TIANJIN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
NANHAI NEW AREA BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司南海新区分公司)(Reg. No.: 91371081MA3MH69P3A),"ROOM 311 LANCHUANG MANSION, NORTH AND EAST OF CHANGHAI ROAD, NANHAI NEW AREA, WENDENG DISTRICT, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
TIANJIN BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司天津分公司)(Reg. No.: 91120116MA05J6QR8F),"NO.634, NANHUAN ROAD, FISHERY PORT, ECO-CITY CENTER, TIANJIN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI HENGYE FILM PROJECTION CO., LTD.(威海恒业电影放映有限公司)(Reg. No.: 91371000MA3UCWM10U)","NO.164-1 TAIZHOU ROAD, CAO MIAOZI TOWN, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
CHENGYANG BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司城阳分公司)(Reg. No.: 91370214MA3TJ0YA01),"NO.270 2ND JINSHENG ROAD, JI HONGTAN STREET, CHENGYANG DISTRICT, QINGDAO, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
TAI’AN BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司泰安分公司)(Reg. No.: 91370900MA3UJGK55X),"A-05 LAO WANGFU ROAD, ZHOUDIAN STREET, DAIYUE DISTRICT, TAIAN, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI HAOTIAN PROPERTY SERVICE CO., LTD.(威海浩天物业服务有限公司)(Reg. No.: 91371000313021240X)","1ST FLOOR, BUILDING NO.20, JIAN DONG YUE HAI WAN, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
WEIHAI CONSTRUCTION GROUP YUANXING WATER-PROOF ENGINEERING(威海建设集团元兴防水工程有限公司)(Reg. No.: 91371000790367447C),"NO.271-1 EAST KAIYUAN ROAD, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
DECORATION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司装饰分公司)(Reg. No.: 91371000866716990Y),"NO.19-1 SHANDA ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
CONCRETE BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司混凝土分公司)(Reg. No.: 91371000759198622Y),"NO.303-1 TORCH ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
5TH CONSTRUCTION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司第五建筑分公司)(Reg. No.: 91371000866702863T),"NO.44 EAST CULTURE ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
WEIHAI CONSTRUCTION GROUP NAMIBIA (PTY) LTD(Reg. No.: 2020/001235/244209),"ONGOLO STR, PROSPERITA, P.O. BOX 80008, WINDHOEK",Namibia,2022-02-14,2024-10-18,Cross Debarment: AfDB
4TH CONSTRUCTION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司第四建筑分公司)(Reg. No.: 91371000706249692C),"4TH FLOOR, NO.21-2 HONG KONG ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
SAMI KUNKAR KAFATTI,"COLONIA MIRAMONTES, CALLE PRINCIPAL, EDIFICIO GRACIELA, APTO. NO. 5, TEGUCIGALPA",Honduras,2022-01-13,2024-12-12,Cross Debarment: IDB
CONSTRUCTORA SANTA HELENA S.A. (KUNDERA),"COLONIA MIRAMONTES, CALLE PRINCIPAL, EDIFICIO GRACIELA, APTO. NO. 5, TEGUCIGALPA",Honduras,2022-01-13,2024-12-12,Cross Debarment: IDB
ALLAN FABRICIO FIALLOS WILLIAMS,"CIUDAD DE COMAYAGÜELA, RESIDENCIAL LA FUENTE, CASA NO. 4308 Y/O RESIDENCIAL LAS UVAS, SEXTA ENTRADA, BLOQUE 7, CASA 67, TEGUCIGALPA",Honduras,2022-01-13,2024-12-12,Cross Debarment: IDB
PROYECTO DE INGENIERÍA CENTRO AMERICANA S. DE R.L.,"CIUDAD DE COMAYAGÜELA, RESIDENCIAL LA FUENTE, CASA NO. 4308 Y/O RESIDENCIAL LAS UVAS, SEXTA ENTRADA, BLOQUE 7, CASA 67, TEGUCIGALPA",Honduras,2022-01-13,2024-12-12,Cross Debarment: IDB
"AOHUA STEEL STRUCTURE CO., LTD.(威海奥华钢结构有限公司)(Reg. No.: 91371000746596891M)","SOUTH OF XU JIATUAN VILLAGE, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI JIANDA REAL-ESTATE DEVELOPMENT CO., LTD.(威海建大实业有限公司)(Reg. No.: 91371000720777790G)","NO.52 CENTRAL WENHUA ROAD, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"JIANBANG HOUSING TECHNOLOGY DEVELOPMENT CO., LTD.(威海建设集团建邦住房科技发展有限公司)(Reg. No.: 913710007892958106)","NO.271-1 EAST KAIYUAN ROAD, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"SHANDONG CONSTRUCTION GROUP CO., LTD.(山东省建设集团有限公司)(Reg. No.: 91370000163072949N)","NO.277 6TH GANGYUAN ROAD, EXPORT PROCESSING ZONE, JINAN, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
XINTAI BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司新泰市分公司)(Reg. No.: 91370982MA3QBELH7J),"NO.723 NANZHAN VILLAGE, LONGTING TOWN, XINTAI, TAIAN, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
WENDENG CONCRETE BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司文登区混凝土分公司)(Reg. No.: 913710815777933160),"SOUTH OF JIUFA ROAD AND WEST OF CHUZHANG ROAD, WENDENG",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
WENDENG BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司文登区分公司)(Reg. No.: 91371081MA3RNGDU4H),"ROOM 211-5, BUILDING B, START-UP, INCUBATORS, NO.205 ZHUHAI ROAD, WENDENG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDON PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
INSTALLATION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司安装分公司)(Reg. No.: 91371000706232815E),"NO.21-2 HONG KONG ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
2ND CONSTRUCTION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司第二建筑分公司)(Reg. No.: 91371000706249676N),"4TH FLOOR, NO.271-1 EASTERN KAIYUAN, ROAD, CAO MIAOZI TOWN, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
ZHUGANG CIVIC PROJECT BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司筑港市政工程分公司)(Reg. No.: 91371000MA3RHFF14R),"A5 FLOOR, NO.9 SOUTHERN HAIBIN ROAD, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDON PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
1ST CONSTRUCTION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司第一建筑分公司)(Reg. No.: 913710007062497052),"3RD FLOOR, NO.271-1 EAST KAIYUAN ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
SUZHOU BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司苏州分公司)(Reg. No.: 91320508MA1XRWH604),"ROOM 1901-1905, BUILDING NO.2, NO.1177 WESTERN BAODAI ROAD, SUZHOU",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
INTERNATIONAL PROJECT BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司国际工程分公司)(Reg. No.: 91371000557887198C),"A2001-2008, 20TH FLOOR, BUILDING A OF LETIAN ZHIHUI CENTER, NO.19 LETIAN SHIJI CHENG, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDON PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"RAFAEL ""ACE"" FRESNOZA LIM","BLK. 23, LOT 9, TWINPEAK DRIVE ST., RIDGEMONT EXECUTIVE VILLAGE, TAYTAY, RIZAL",Philippines,2016-11-29,2999-12-31,Cross-Debarment: ADB
FLORENCIA M. SILVESTRE,"UNIT 1501 GLOBAL TOWER CONDOMINIUM, BANGKAL, MAKATI CITY, METRO MANILA",Philippines,2017-01-09,2999-12-31,Cross Debarment: ADB
MS. SABRINA MARY WILLIAMS,"71 SOMERSET COURT, GARDEN OF EDEN, EAST BANK DEMERARA",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
INVEPAR CONSTRUTORA LTDA - ME(CNPJ: 20.182.043/0001-42),"LOT 97 PHASE 2, LETHEM, RUPUNINI, REGION NO. 9, ESSEQUIBO",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
MR. VEVAKANAND DALIP,"LOT 97 PHASE 2, LETHEM, RUPUNINI, REGION NO. 9, ESSEQUIBO",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
MS. SABRINA MARY WILLIAMS,"LOT 97 PHASE 2, LETHEM, RUPUNINI, REGION NO. 9, ESSEQUIBO",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
INVEPAR CONSTRUTORA LTDA - ME(CNPJ: 20.182.043/0001-42),"71 SOMERSET COURT, GARDEN OF EDEN, EAST BANK DEMERARA",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
MR. VEVAKANAND DALIP,"71 SOMERSET COURT, GARDEN OF EDEN, EAST BANK DEMERARA",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
VEVAKANAND DALIP ENTERPRISE,"LOT 97 PHASE 2, LETHEM, RUPUNINI, REGION NO. 9, ESSEQUIBO",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
VEVAKANAND DALIP ENTERPRISE,"71 SOMERSET COURT, GARDEN OF EDEN, EAST BANK DEMERARA",Guyana,2018-02-20,2030-12-28,Cross-Debarment:  IDB
SERPRO,"KM. 19.3 CARRETERA VILLA CANALES, 5 AVENIDA 1-52,CAÑADAS DEL RIO COLONIAL MUNICIPIO SAN MIGUEL PETAPA, DEPARTAMENTO DE GUATEMALA",Guatemala,2018-04-25,2025-01-28,Cross-Debarment: IDB
SURTI TIENDAS PRISMA,"KM. 19.3 CARRETERA VILLA CANALES, 5 AVENIDA 1-52, CAÑADAS DEL RIO COLONIA, MUNICIPIO SAN MIGUEL PETAPA, DEPARTAMENTO DE GUATEMALA",Guatemala,2018-04-25,2025-01-28,Cross-Debarment: IDB
CORSEP,"KM. 19.3 CARRETERA VILLA CANALES, 5 AVENIDA 1-52, CAÑADAS DEL RIO COLONIA, MUNICIPIO SAN MIGUEL PETAPA, DEPARTAMENTO DE GUATEMALA",Guatemala,2018-04-25,2025-01-28,Cross-Debarment: IDB
HENRY EFRAIN ORELLANA LÓPEZ,"5TA AVENIDA 5-55 EDIFICIO EUROPLAZA, ZONA 14, OFICINA 301, TORRE A CIUDAD DE GUATEMALA",Guatemala,2018-04-25,2025-01-25,Cross-Debarment: IDB
ENTREPRISE DE CONSTRUCTION URBAINE ET RURALES (ECUR) SARI,"AMDALLAYE- RUE PAVÉE, FACE À LA MAIRIE",Mali,2018-04-09,2999-12-31,Cross-Debarment: AFDB
LEONARDO IVAN NOBLECILLA SOTOMAYOR,"URDESA, CALLE 2A CASA NO. 714 A, ENTRE FICUS Y GUAYACANES, GUAYAQUIL",Ecuador,2018-11-28,2030-10-30,Cross-Debarment: IDB
NOBSACONSTRUCCIONES S.A.,"URDESA, CALLE 2A CASA NO. 714 A, ENTRE FICUS Y GUAYACANES, GUAYAQUIL",Ecuador,2018-11-28,2030-10-30,Cross-Debarment: IDB
REPRESENTACIONES COMERCIALES Y DISTRIBUIDORA TOTAL S.A.,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
MARÍA BENILDA SANDOVAL VALDÉZ,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
CORPORACIÓN SIRECO S.A.,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
GEO SCIENCES INTERNATIONAL SARL,"B.P. 6362-QUATIER BATROS, YAOUNDÉ",Cameroon,2020-08-18,2999-12-31,Cross Debarment: AfDB
CESA DE HONDURAS S.A.,"CALLE 50 Y ESQUINA CON ELVIRA MÉNDEZ, TORRE FINANCIERA, PISO 35, PANAMA CITY",Honduras,2020-08-28,2026-07-27,Cross Debarment: IDB
SISTEMAS SÓLIDOS DE GUATEMALA S.A.,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
GRUPO CESA CORPORATION HOLDINGS S.A.,"CENTRO CORPORATIVO EL TOBOGÁN, PISO 9, 200 MTS NORTE Y 100 MTS ESTE DEL PERIÓDICO LA REPÚBLICA., BARRIO TOURNÓN",Costa Rica,2020-08-28,2030-07-27,Cross Debarment: IDB
CONTROL ELECTRÓNICO S.A.,"CENTRO CORPORATIVO EL TOBOGÁN, PISO 9, 200 MTS NORTE Y 100 MTS ESTE DEL PERIÓDICO LA REPÚBLICA., BARRIO TOURNÓN",Costa Rica,2020-08-28,2026-07-27,Cross Debarment: IDB
CESA TECNOLOGÍA DE GUATEMALA S.A.,"18 CALLE BLVD LOS PRÓCERES 24-69, ZONA 10. EDIFICIO EMPRESARIAL ZONA PRADERA, TORRE IV, NIVEL 11, OFICINA 1107, GUATEMALA CITY",Guatemala,2020-08-28,2030-07-27,Cross Debarment: IDB
CESA TECNOLOGÍA DE MÉXICO S.A.,"AVENIDA INSURGENTES SUR 1605-12, SAN JOSÉ INSURGENTES, AKIL, DF. 03900, DISTRITO FEDERAL",Mexico,2020-08-28,2026-07-27,Cross Debarment: IDB
CESA TECNOLOGÍA DE EL SALVADOR S.A.,"BOULEVARD DEL HIPÓDROMO, EDIFICIO NO. 237, TERCER NIVEL COLONIA SAN BENITO, SAN SALVADOR",El Salvador,2020-08-28,2026-07-27,Cross Debarment: IDB
CESA DE PANAMÁ S.A.,"CALLE 50 Y ESQUINA CON ELVIRA MÉNDEZ, TORRE FINANCIERA, PISO 35, PANAMA CITY",Panama,2020-08-28,2026-07-27,Cross Debarment: IDB
CARLOS ESTUARDO CABRERA,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
CESA DE GUATEMALA S.A.,"18 CALLE BLVD LOS PRÓCERES 24-69, ZONA 10. EDIFICIO EMPRESARIAL ZONA PRADERA, TORRE IV, NIVEL 11, OFICINA 1107, GUATEMALA CITY",Guatemala,2020-08-28,2030-07-27,Cross Debarment: IDB
SANGTECH INTERNATIONAL SERVICES LIMITED,"DD 1B RAMAT CLOSE U/ RIMI, NEW EXTENSION, KADUNA, KADUNA STATE",Nigeria,2020-09-28,2999-12-31,Cross Debarment: AfDB
SANGAR & ASSOCIATES (NIGERIA) LIMITED,"CC 14, RAMAT CLOSE, UNGUWAR RIMI G.R.A., KADUNA, KADUNA STATE",Nigeria,2020-09-28,2999-12-31,Cross Debarment: AfDB
MASHAD INTEGRATED AND INVESTMENT CO. LIMITED,"NO.1 SANGAR AVENUE, NTR QUARTERS, KADUNA, KADUNA STATE",Nigeria,2020-09-28,2999-12-31,Cross Debarment: AfDB
MEDNIZA GLOBAL MERCHANTS LIMITED,"DD 1B RAMAT CLOSE U/ RIMI G.R.A., KADUNA, KADUNA STATE",Nigeria,2020-09-28,2999-12-31,Cross Debarment: AfDB
SALVADOR DUART,"CALLE BARCELONA, 9, VILLALBILLA, 28810, MADRID",Spain,2020-08-19,2026-07-06,Cross Debarment: IDB
BDCTEC INTERNATIONAL SL.,"CALLE BARCELONA, 9, VILLALBILLA, 28810, MADRID",Spain,2020-08-19,2026-07-06,Cross Debarment: IDB
QUALITRENDS GLOBAL SOLUTIONS NIGERIA LTD,"SUITE M, INNOVATION PLAZA, WUYE, ABUJA, FCT",Nigeria,2020-08-31,2999-12-31,Cross Debarment: AfDB
CESA DE NICARAGUA S.A.,"COLONIA LOS ROBLES, V ETAPA NO. 26, PLAZA EL SOL 2C AL SUR 1C AL ESTE, MANAGUA",Nicaragua,2020-08-28,2026-07-27,Cross Debarment: IDB
COMERCIALIZADORA INTERCONTINENTAL CEC. S.A.,"3ª AVENIDA “A” 3-15, ZONA 1, GUATEMALA CITY",Guatemala,2020-08-28,2033-07-27,Cross Debarment: IDB
MR. SISIRA KUMARA KUMARAGAMAGE DON,"22, VERNA AV MITCHAM, VIC 3132",Australia,2020-03-25,2999-12-31,Cross Debarment: ADB
CHINA ZHONGHAO NIGERIA LIMITED,"PLOT 7 INUWA ABDUL KADIR ROAD KADUNA, KADUNA STATE",Nigeria,2020-05-07,2999-12-31,Cross Debarment: AfDB
MR. SISIRA KUMARA KUMARAGAMAGE DON,"3808 EXECUTIVE AVENUE, APARTMENT B-12, ALEXANDRIA, VA, 22305",United States,2020-03-25,2999-12-31,Cross Debarment: ADB
M/S SUNAULA KHIMTIAKA SUNAULA KHIMTI PVT. CONSTRUCTION LTD.,"ANAMNAGAR, KATHMANDU; SINAMANGAL, KATHMANDU; HOUSE NO. 15/105 THAMEI, KATHMANDU",Nepal,2016-10-21,2999-12-31,Cross-Debarment: ADB
A.K.A. JOKO SESWANTOMR. SATRIO BUDI HANDOKO,"PPA CONSULTANTS, JL. TEBET TIMUR RAYA 56-57, JAKARTA SELATAN",Indonesia,2010-12-03,2999-12-31,Cross Debarment: ADB
GARRY JEAN,"THOMASSIN 32, PORT-AU-PRINCE",Haiti,2020-01-21,2034-11-11,Cross Debarment: IDB
RONEL JEAN BAPTISTE,"DELMAS 105, RUE AUDANT #2, ENTREE HÔPITAL COMMUNAUTAIRE, PORT-AU-PRINCE",Haiti,2020-01-21,2028-11-11,Cross Debarment: IDB
ENOLD DORSAINVILLE,"12, RUE FERRY, DELMAS 33, PORT-AU-PRINCE",Haiti,2020-01-21,2024-11-11,Cross Debarment: IDB
VICTOR FOREST ET CO/SOCIÉTÉ D'INGÉNIERIE ET DE TOPOGRAPHIE,"28, RUE ROY, CENTRE VILLE, PORT-AU-PRINCE",Haiti,2020-01-21,2025-11-11,Cross Debarment: IDB
JLM DISTRIBUIDORA COMÉRCIO E SERVIÇOS EIRELI,"RUA LEONEL CURVELO 1129 BAIRRO PEREIRA LOBO, ARACAJU - SE, 49052-125",Brazil,2023-12-28,2029-10-31,Cross Debarment: IDB
LEI SITAO,"NO.6 EPANG 1ST ROAD, WEIYANG DISTRICT, XI'AN CITY, 710000",China,2020-04-06,2999-12-31,Cross Debarment: ADB
EGIS COLOMBIA S.A.S.,"CALLE 75# 13-51 PISO 6, 110221 BOGOTA DC",Colombia,2024-02-02,2027-01-02,Cross Debarment: IDB
MACTEBAC CONTRACTORS LIMITED,"CBD, SUNA BUILDING, SIRARE ROAD EAST/WESWETA 1/32, P.O. BOX 32, STAREHE DISTRICT, SUNA, NAIROBI",Kenya,2022-03-01,2999-12-31,Cross Debarment: AfDB
GLOBAL INTERJAPAN (KENYA) LIMITED,"PARSONIC HOTEL BUILDING, KIRINYAGA ROAD, P.O. BOX 28783, POST CODE 00200, NAIROBI",Kenya,2021-03-01,2999-12-31,Cross Debarment: AfDB
MS. ZENG ZILING,"3-21-01, E-SHIDAI, XIN MAO YUAN, SI GONG LI, NAN AN DISTRICT, CHONG QING CITY",China,2019-12-24,2999-12-31,Cross Debarment: ADB
KS-GROUP LLP,"NUR-SULTAN, ST. ZHANIBEK TARKHANA 4, OFFICE 405",Kazakhstan,2023-11-08,2025-04-17,Cross Debarment: EBRD
ALBERT ALEJANDRO ORTIZ RINCÓN,"CARRERA 12 97-80 OFICINA 605, BOGOTÁ",Colombia,2023-10-11,2031-08-31,Cross Debarment: IDB
PROYECTOS DE INGENIERÍA Y SERVICIOS PARA EL MEDIO AMBIENTE S.A.S.,"CARRERA 12 97-80 OFICINA 605, BOGOTÁ",Colombia,2023-10-11,2031-08-31,Cross Debarment: IDB
"JIANGXI MINGZHENG INTELLIGENT ELECTRICAL CO., LTD.","JINCHAO AVENUE, FUZHOU HIGH-TECH INDUSTRIAL PARK, JIANGXI PROVINCE",China,2023-07-24,2027-03-24,Cross Debarment: ADB
BEZA CONSULTING ENGINEERS PLC,N/A,Ethiopia,2023-09-20,2024-11-20,Cross Debarment: AfDB
"JIANGXI MINGZHENG TRANSFORMER EQUIPMENT CO., LTD","ZONE C, CHONGREN INDUSTRIAL PARK, FUZHOU CITY, JIANGXI PROVINCE",China,2023-07-24,2027-03-24,Cross Debarment: ADB
MR. SATISH CHANDRA MISHRA,"BALI, JALAN BADAK AGUNG 19, NO. 5 RENON, DENPASAR 80235",Indonesia,2020-12-16,2999-12-31,Cross Debrament: ADB
"JIANGXI MINGQIANG ELECTRIC POWER TECHNOLOGY CO., LTD.","SECTION C, INDUSTRIAL PARK AREA, CHONGREN COUNTY, FUZHOU CITY, JIANGXI PROVINCE",China,2023-07-24,2027-03-24,Cross Debarment: ADB
"JIANGXI MINGZHENG TRANSFORMER EQUIPMENT TECHNOLOGY SERVICE CO., LTD.","SECTION C, INDUSTRIAL PARK AREA, CHONGREN COUNTY, FUZHOU CITY, JIANGXI PROVINCE",China,2023-07-24,2027-03-24,Cross Debarment: ADB
"JIANGXI MINGZHENG TECHNOLOGY SYNERGY INNOVATION CO., LTD.","NO.171 RENMIN AVENUE, SECTION C, INDUSTRIAL PARK AREA, CHONGREN COUNTY, FUZHOU CITY, JIANGXI PROVINCE",China,2023-07-24,2027-03-24,Cross Debarment: ADB
PT STRATEGIC ASIA,"BALI, JALAN BADAK AGUNG 19, NO. 5 RENON, DENPASAR 80235",Indonesia,2020-12-16,2999-12-31,Cross Debarment: ADB
"STRATEGIC ASIA GLOBAL, LTD.","PALMEIRA MANSIONS, 29 PALMEIRA AVENUE MANSIONS, 21-23 CHURCH ROAD HOVE, SUSSEX, BN3 2FA",United Kingdom,2020-12-16,2999-12-31,Cross Debarment: ADB
PEDRO ALEJANDRO EGUSQUIZA MELENDEZ,"AV. AURELIO MIROQUESADA NO. 576, DEPARTAMENTO 1001, DISTRITO DE SAN ISIDRO, PROVINCIA Y DEPARTAMENTO DE LIMA",Peru,2023-08-02,2026-01-29,Cross Debarment: IDB
